hp,catch_rate_pokeball,catch_rate_ultraball,catch_rate_fastball,catch_rate_heavyball
0.01,1.0,1.0,0.99,0.92
0.02,0.97,1.0,0.98,0.87
0.03,0.97,1.0,1.0,0.89
0.04,0.98,1.0,0.94,0.9
0.05,0.98,1.0,1.0,0.88
0.060000000000000005,0.94,1.0,0.95,0.9
0.06999999999999999,0.96,1.0,0.97,0.88
0.08,0.95,1.0,0.94,0.92
0.09,0.94,1.0,0.89,0.84
0.09999999999999999,0.91,1.0,0.93,0.85
0.11,0.96,1.0,0.97,0.81
0.12,0.9,1.0,0.89,0.83
0.13,0.96,1.0,0.83,0.87
0.14,0.89,1.0,0.89,0.83
0.15000000000000002,0.91,1.0,0.89,0.86
0.16,0.93,1.0,0.97,0.85
0.17,0.9,1.0,0.89,0.76
0.18000000000000002,0.89,1.0,0.88,0.8
0.19,0.89,1.0,0.85,0.84
0.2,0.9,1.0,0.77,0.77
0.21000000000000002,0.81,1.0,0.88,0.8
0.22,0.83,1.0,0.85,0.84
0.23,0.8,1.0,0.83,0.77
0.24000000000000002,0.82,1.0,0.82,0.78
0.25,0.86,1.0,0.85,0.75
0.26,0.85,1.0,0.79,0.79
0.27,0.74,1.0,0.77,0.68
0.28,0.75,1.0,0.79,0.81
0.29000000000000004,0.82,1.0,0.83,0.73
0.3,0.81,1.0,0.78,0.8
0.31,0.8,1.0,0.84,0.71
0.32,0.78,1.0,0.8,0.74
0.33,0.87,1.0,0.8,0.73
0.34,0.75,1.0,0.77,0.74
0.35000000000000003,0.77,1.0,0.65,0.62
0.36000000000000004,0.79,1.0,0.75,0.67
0.37,0.68,1.0,0.64,0.68
0.38,0.65,1.0,0.72,0.74
0.39,0.8,1.0,0.77,0.68
0.4,0.77,1.0,0.69,0.71
0.41000000000000003,0.72,1.0,0.69,0.73
0.42000000000000004,0.7,1.0,0.75,0.68
0.43,0.71,1.0,0.63,0.58
0.44,0.75,1.0,0.77,0.68
0.45,0.77,1.0,0.68,0.61
0.46,0.68,1.0,0.66,0.72
0.47000000000000003,0.69,1.0,0.66,0.71
0.48000000000000004,0.67,1.0,0.65,0.64
0.49,0.63,1.0,0.77,0.59
0.5,0.63,1.0,0.68,0.67
0.51,0.61,1.0,0.64,0.63
0.52,0.64,1.0,0.74,0.7
0.53,0.68,1.0,0.66,0.51
0.54,0.51,1.0,0.64,0.59
0.55,0.67,1.0,0.62,0.56
0.56,0.59,1.0,0.66,0.57
0.5700000000000001,0.57,1.0,0.6,0.49
0.5800000000000001,0.57,1.0,0.69,0.59
0.59,0.64,1.0,0.62,0.68
0.6,0.62,1.0,0.63,0.49
0.61,0.63,1.0,0.49,0.51
0.62,0.6,1.0,0.57,0.52
0.63,0.63,1.0,0.6,0.55
0.64,0.61,1.0,0.65,0.53
0.65,0.56,1.0,0.49,0.45
0.66,0.55,1.0,0.62,0.48
0.67,0.51,1.0,0.55,0.52
0.68,0.53,1.0,0.51,0.49
0.6900000000000001,0.52,1.0,0.54,0.5
0.7000000000000001,0.56,1.0,0.63,0.52
0.7100000000000001,0.49,1.0,0.55,0.56
0.72,0.46,1.0,0.52,0.46
0.73,0.48,1.0,0.53,0.49
0.74,0.57,1.0,0.49,0.57
0.75,0.58,1.0,0.43,0.42
0.76,0.5,0.99,0.49,0.39
0.77,0.55,0.98,0.55,0.45
0.78,0.44,0.98,0.42,0.51
0.79,0.4,0.95,0.44,0.37
0.8,0.47,0.95,0.46,0.34
0.81,0.36,0.9,0.44,0.39
0.8200000000000001,0.52,0.91,0.44,0.37
0.8300000000000001,0.52,0.85,0.48,0.4
0.8400000000000001,0.57,0.91,0.5,0.43
0.85,0.4,0.87,0.45,0.35
0.86,0.38,0.89,0.42,0.42
0.87,0.38,0.86,0.44,0.42
0.88,0.32,0.87,0.39,0.38
0.89,0.41,0.8,0.47,0.38
0.9,0.38,0.85,0.36,0.42
0.91,0.37,0.83,0.47,0.38
0.92,0.36,0.78,0.45,0.3
0.93,0.39,0.8,0.33,0.32
0.9400000000000001,0.42,0.76,0.25,0.37
0.9500000000000001,0.35,0.71,0.45,0.39
0.9600000000000001,0.29,0.7,0.36,0.34
0.97,0.29,0.7,0.29,0.35
0.98,0.36,0.72,0.37,0.35
0.99,0.36,0.66,0.37,0.33
1.0,0.25,0.72,0.45,0.32
