lvl,catch_rate_pokeball,catch_rate_ultraball,catch_rate_fastball,catch_rate_heavyball
100,0.07,0.1,0.23,0.03
99,0.05,0.13,0.24,0.02
98,0.11,0.15,0.17,0.06
97,0.03,0.15,0.27,0.03
96,0.04,0.1,0.29,0.02
95,0.07,0.1,0.23,0.03
94,0.04,0.1,0.23,0.02
93,0.08,0.09,0.23,0.0
92,0.09,0.09,0.17,0.01
91,0.05,0.1,0.26,0.01
90,0.04,0.09,0.23,0.03
89,0.04,0.03,0.22,0.02
88,0.07,0.11,0.26,0.07
87,0.04,0.14,0.23,0.02
86,0.07,0.1,0.34,0.05
85,0.06,0.09,0.27,0.01
84,0.03,0.1,0.23,0.01
83,0.11,0.16,0.23,0.03
82,0.07,0.13,0.18,0.01
81,0.09,0.08,0.18,0.08
80,0.07,0.08,0.17,0.05
79,0.04,0.13,0.26,0.07
78,0.09,0.13,0.18,0.02
77,0.07,0.16,0.2,0.07
76,0.06,0.17,0.2,0.04
75,0.05,0.08,0.23,0.04
74,0.04,0.17,0.22,0.02
73,0.04,0.05,0.18,0.02
72,0.07,0.09,0.26,0.03
71,0.07,0.05,0.22,0.01
70,0.07,0.06,0.29,0.02
69,0.07,0.11,0.27,0.03
68,0.11,0.12,0.24,0.03
67,0.04,0.2,0.26,0.04
66,0.07,0.13,0.19,0.05
65,0.06,0.06,0.2,0.03
64,0.06,0.09,0.2,0.05
63,0.04,0.16,0.23,0.03
62,0.02,0.09,0.2,0.04
61,0.02,0.08,0.23,0.04
60,0.07,0.13,0.23,0.02
59,0.05,0.12,0.27,0.03
58,0.08,0.12,0.21,0.04
57,0.02,0.09,0.24,0.02
56,0.09,0.12,0.18,0.06
55,0.07,0.13,0.2,0.02
54,0.08,0.11,0.15,0.02
53,0.03,0.15,0.27,0.01
52,0.04,0.03,0.21,0.01
51,0.08,0.12,0.27,0.05
50,0.01,0.05,0.24,0.04
49,0.06,0.12,0.24,0.03
48,0.07,0.1,0.18,0.05
47,0.07,0.15,0.31,0.03
46,0.12,0.11,0.22,0.03
45,0.04,0.15,0.19,0.04
44,0.05,0.1,0.24,0.0
43,0.02,0.05,0.3,0.02
42,0.07,0.1,0.17,0.05
41,0.09,0.12,0.26,0.02
40,0.09,0.11,0.24,0.03
39,0.03,0.1,0.22,0.02
38,0.06,0.11,0.24,0.06
37,0.1,0.11,0.27,0.07
36,0.07,0.09,0.17,0.05
35,0.07,0.13,0.25,0.08
34,0.05,0.14,0.25,0.05
33,0.05,0.09,0.22,0.05
32,0.03,0.13,0.23,0.05
31,0.05,0.17,0.24,0.02
30,0.05,0.15,0.32,0.0
29,0.06,0.12,0.19,0.04
28,0.07,0.16,0.27,0.02
27,0.06,0.11,0.24,0.09
26,0.04,0.11,0.22,0.02
25,0.06,0.17,0.26,0.04
24,0.05,0.1,0.23,0.05
23,0.1,0.12,0.28,0.02
22,0.04,0.13,0.29,0.03
21,0.06,0.11,0.18,0.03
20,0.07,0.14,0.28,0.02
19,0.07,0.12,0.25,0.02
18,0.04,0.13,0.18,0.02
17,0.07,0.11,0.21,0.05
16,0.01,0.05,0.22,0.04
15,0.06,0.12,0.22,0.02
14,0.07,0.06,0.28,0.02
13,0.04,0.12,0.19,0.03
12,0.05,0.06,0.18,0.07
11,0.07,0.12,0.16,0.02
10,0.08,0.14,0.2,0.05
9,0.12,0.11,0.28,0.02
8,0.05,0.12,0.29,0.06
7,0.06,0.1,0.15,0.05
6,0.1,0.1,0.23,0.01
5,0.05,0.13,0.24,0.03
4,0.03,0.15,0.26,0.01
3,0.07,0.14,0.28,0.03
2,0.06,0.1,0.18,0.03
1,0.02,0.12,0.21,0.04
